          WORK_SIZE        CPU_TIME  GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
           1024            0.006208            0.023872                   0                   0            0.265696
           1024            0.006208                   0            0.022688                   0            0.195872
           1024            0.006208                   0                   0            0.012416            0.179232
           2048            0.005242            0.014944                   0                   0            0.178752
           2048            0.005242                   0            0.019776                   0             0.17168
           2048            0.005242                   0                   0             0.01168             5.80426
           4096              0.0099              0.0184                   0                   0            0.181024
           4096              0.0099                   0             0.02032                   0            0.173216
           4096              0.0099                   0                   0            0.010368            0.159168
           8192            0.017426            0.030176                   0                   0             1.97485
           8192            0.017426                   0            0.021792                   0            0.209056
           8192            0.017426                   0                   0            0.013152            0.192576
          16384            0.033356            0.044992                   0                   0             0.25632
          16384            0.033356                   0             0.02432                   0            0.191936
          16384            0.033356                   0                   0            0.013984            0.179936
          32768            0.066062            0.074336                   0                   0            0.259008
          32768            0.066062                   0             0.02144                   0            0.192128
          32768            0.066062                   0                   0            0.015008            0.181504
          65536            0.132222            0.139712                   0                   0            0.375552
          65536            0.132222                   0             0.03024                   0            0.246464
          65536            0.132222                   0                   0             0.01696              0.2296
         131072            0.265267             0.26464                   0                   0            0.609664
         131072            0.265267                   0            0.054176                   0            0.364896
         131072            0.265267                   0                   0            0.020672            0.329568
         262144             0.52922             0.51408                   0                   0             1.22096
         262144             0.52922                   0            0.085152                   0            0.699712
         262144             0.52922                   0                   0            0.027392            0.640768
         524288             1.06485             1.02566                   0                   0             2.04032
         524288             1.06485                   0            0.153728                   0             1.10922
         524288             1.06485                   0                   0            0.047968             0.96992
        1048576             2.12058             2.03414                   0                   0             3.65078
        1048576             2.12058                   0             0.29744                   0             1.82125
        1048576             2.12058                   0                   0            0.089344             1.59603
        2097152             4.23724             4.05782                   0                   0              6.8865
        2097152             4.23724                   0             0.57776                   0              3.2921
        2097152             4.23724                   0                   0             0.15632             2.83171
        4194304             8.55448              8.1064                   0                   0             13.3552
        4194304             8.55448                   0             1.13405                   0             6.20653
        4194304             8.55448                   0                   0            0.309952             5.36547
        8388608             16.9501             16.1991                   0                   0             26.1237
        8388608             16.9501                   0             2.24758                   0              12.051
        8388608             16.9501                   0                   0            0.597504             10.3987
       16777216             33.8995             32.3637                   0                   0             51.9702
       16777216             33.8995                   0             4.47766                   0             23.7207
       16777216             33.8995                   0                   0             1.17827             20.4611
       33554432             67.8226             60.2827                   0                   0             97.9141
       33554432             67.8226                   0             8.20304                   0             45.5742
       33554432             67.8226                   0                   0             2.15725             39.5333
       67108864             135.486             128.313                   0                   0              203.36
       67108864             135.486                   0              16.549                   0             89.9945
       67108864             135.486                   0                   0             4.34509             76.8103
      134217728             273.865             251.609                   0                   0             387.681
      134217728             273.865                   0             32.8558                   0             180.286
      134217728             273.865                   0                   0             8.61862             156.474
      268435456             547.056             484.238                   0                   0             729.769
      268435456             547.056                   0             65.6871                   0             355.402
      268435456             547.056                   0                   0             17.2259             305.074
      536870912              1112.8             985.207                   0                   0             1478.11
      536870912              1112.8                   0             117.278                   0             702.508
      536870912              1112.8                   0                   0             35.7683             622.241
     1073741824             2263.94             1928.35                   0                   0             2901.84
     1073741824             2263.94                   0             262.936                   0             1456.53
     1073741824             2263.94                   0                   0             69.8349             1271.85
