              MAX_THREAD  GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
                  32             482.106             20.2834             18.6369             454.086
                  36             482.213             19.6708             16.9382             467.463
                  40             482.218              18.728              15.323             466.588
                  44             482.249             17.5371             13.9728             465.851
                  48             482.184             16.8986             12.7998             465.656
                  52             482.213              16.296             11.8779             464.762
                  56             482.127             15.8641             11.1396               464.3
                  60              482.14             15.2075             10.4521             463.825
                  64             482.173             14.8865             10.7419             463.946
                  68             482.245             12.4331             12.9973             463.797
                  72             482.163             12.0671             12.5586             463.699
                  76             482.204             11.6245             11.7082             463.406
                  80             482.188             11.2535             11.0682             462.715
                  84             482.178             11.3215             10.6649             462.492
                  88             482.339             11.0932             10.2184             462.513
                  92             482.256             10.8372             9.79456             462.115
                  96              482.34             10.6056             9.36154             461.926
                 100             482.278             10.6838             11.7469             462.923
                 104             482.307              10.606             11.3266             462.663
                 108             482.367             10.5636             10.9247             462.671
                 112             482.247             10.2661             10.4941             462.056
                 116             482.289             10.3644             10.2388             462.019
                 120              482.42             10.2057             9.95862             462.118
                 124             482.219             10.1108             9.64144             462.006
                 128             482.206             9.86266             10.2488             461.994
                 132              482.24             11.1083             12.9748             463.353
                 136             482.223             10.4292             12.6156             463.168
                 140             482.189             10.4954             12.2611             462.781
                 144             482.194             9.85942             11.9092             462.459
                 148             482.258             10.3262             11.6301              462.54
                 152             482.534             9.95322             11.2994             462.608
                 156             482.371             9.91629             11.0191             462.498
                 160             482.344              9.5888             10.7148             462.125
                 164             484.118             12.9347             12.6793             464.675
                 168             483.994             12.8199             12.3969             464.461
                 172             483.214             12.6784             12.1123              464.23
                 176             483.497             12.5811             11.8193             464.111
                 180             482.991             12.4986             11.5864             463.865
                 184             483.605             12.4567             11.3573             463.862
                 188             483.445             12.3388             11.1103             463.704
                 192             484.201             12.2741             10.8545             464.017
                 196             482.953             10.1551             12.2236             463.106
                 200             483.283             9.90938              12.001             463.306
                 204              482.57             9.96144             11.7674             462.724
                 208              482.69             9.63494             11.5019             462.636
                 212             481.991             9.87786             11.3478              462.33
                 216             482.047             9.73235             11.1525             462.157
                 220             483.341             9.74013             10.9694             462.682
                 224             483.181             9.32749             10.7028             462.159
                 228             482.454             11.5825             11.9897             463.203
                 232             482.399             11.2496             11.8067             463.087
                 236             482.297             11.1676             11.6068             463.116
                 240             482.699             10.4156             11.3752             462.886
                 244             482.692             10.8929             11.2529             462.814
                 248             483.772             10.7138             11.0804              463.19
                 252             483.686             10.7486             10.9325             463.125
                 256             483.957             9.93629             11.8003             463.299
                 260             484.307             13.9808             13.4084              465.33
                 264              483.73             13.4976             13.2217             464.877
                 268             483.161             13.8456             13.0352             464.635
                 272             483.716              11.688               12.81             464.177
                 276             482.937             13.5675             12.6564             464.464
                 280             483.432             13.3087             12.4851             464.176
                 284             482.208             14.0764             12.3166               463.9
                 288              482.37             12.6685             12.1042             463.634
                 292             482.885              13.784             13.6543             464.961
                 296              482.85             15.3627             13.5483             465.221
                 300             484.152             14.5479             13.3771             465.489
                 304             483.602             17.8462             13.1587             466.281
                 308             483.343             13.4882             13.0482             464.936
                 312             483.895             14.2246              12.957             464.916
                 316             483.858             13.6602             12.7313              464.97
                 320             484.173              13.544             12.5226             464.951
                 324             483.926             22.5074             14.4088             468.436
                 328             483.937             20.6028              14.235             467.659
                 332             484.117             19.8129             14.0661             467.539
                 336             484.735             23.8789              13.861             469.159
                 340             484.487             19.1296             13.7519              467.37
