         MAX_THREAD   GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
             32             478.755                   0                   0             728.735
             32                   0             19.7559                   0             306.371
             32                   0                   0             18.4475             305.131
             36             482.083                   0                   0             726.161
             36                   0             20.1698                   0             307.483
             36                   0                   0             18.5666             306.504
             40             495.792                   0                   0             744.497
             40                   0             20.7861                   0             310.018
             40                   0                   0             19.2244              308.71
             44             495.527                   0                   0             744.185
             44                   0             20.7949                   0             309.172
             44                   0                   0             19.2151             307.814
             48             498.218                   0                   0             749.299
             48                   0             20.9712                   0             309.858
             48                   0                   0              19.502             308.068
             52             496.447                   0                   0             748.233
             52                   0             20.6404                   0             309.541
             52                   0                   0             19.2808             308.196
             56             496.271                   0                   0             747.811
             56                   0             21.2937                   0             310.199
             56                   0                   0             19.5093             308.244
             60             496.075                   0                   0               743.3
             60                   0             21.2109                   0             309.382
             60                   0                   0             19.2781             307.505
             64             497.158                   0                   0              743.21
             64                   0              21.128                   0             310.275
             64                   0                   0             19.0029             308.097
             68             502.975                   0                   0             748.185
             68                   0              21.118                   0             310.077
             68                   0                   0             18.9889             307.527
             72             496.199                   0                   0             745.361
             72                   0             20.7603                   0             309.418
             72                   0                   0             19.1587             308.249
             76             496.356                   0                   0             742.433
             76                   0             21.1312                   0             310.224
             76                   0                   0             18.9828             308.159
             80              497.42                   0                   0             748.647
             80                   0             20.7877                   0             310.191
             80                   0                   0             19.0478              307.85
             84             495.033                   0                   0             745.329
             84                   0             20.8988                   0             309.171
             84                   0                   0             19.2572             307.956
             88             496.213                   0                   0             741.366
             88                   0             20.9749                   0             309.983
             88                   0                   0             18.9836             307.806
             92             495.638                   0                   0             741.557
             92                   0             20.9703                   0             310.309
             92                   0                   0             19.4336             308.091
             96             496.662                   0                   0             745.763
             96                   0             21.0045                   0               310.3
             96                   0                   0             19.2227             308.599
            100              496.37                   0                   0             742.971
            100                   0             20.8274                   0             310.491
            100                   0                   0              19.252             308.859
            104             496.259                   0                   0             741.833
            104                   0             21.0311                   0              309.74
            104                   0                   0             19.2601             308.354
            108             497.333                   0                   0              746.53
            108                   0              20.706                   0             309.566
            108                   0                   0             19.4433             308.005
            112             496.447                   0                   0             741.525
            112                   0             20.7044                   0             309.202
            112                   0                   0             19.5108             307.919
            116             496.167                   0                   0             748.268
            116                   0             20.6433                   0             309.975
            116                   0                   0             19.2138             308.441
            120             496.436                   0                   0             748.171
            120                   0             21.0811                   0             310.641
            120                   0                   0             19.1977             308.447
            124             495.858                   0                   0             744.549
            124                   0             20.7798                   0             310.036
            124                   0                   0             18.9753             308.502
            128             497.888                   0                   0             749.325
            128                   0              20.744                   0             309.635
            128                   0                   0             19.2127             307.854
            132             496.297                   0                   0             744.719
            132                   0             20.7482                   0             309.638
            132                   0                   0             19.1534             307.951
            136             495.965                   0                   0             741.919
            136                   0             20.6253                   0             309.088
            136                   0                   0             18.9455             308.001
            140             496.221                   0                   0             744.794
            140                   0              20.859                   0             309.537
            140                   0                   0              18.874             307.735
            144             495.883                   0                   0             747.706
            144                   0             20.6404                   0             309.624
            144                   0                   0             19.1577             308.029
            148             496.545                   0                   0             741.832
            148                   0             21.0415                   0             309.917
            148                   0                   0             18.8406             307.385
            152             495.467                   0                   0             741.409
            152                   0             20.5958                   0             309.896
            152                   0                   0             18.9507             308.098
            156             495.724                   0                   0             744.516
            156                   0             20.5468                   0             309.519
            156                   0                   0             18.7911             307.463
            160             496.403                   0                   0             741.747
            160                   0             21.2512                   0             310.784
            160                   0                   0             19.1924             308.237
            164             498.336                   0                   0             744.212
            164                   0             21.3404                   0             310.159
            164                   0                   0             19.2082              308.26
            168             496.473                   0                   0             745.087
            168                   0             20.9793                   0             310.158
            168                   0                   0             18.9732             307.605
            172             496.525                   0                   0             748.526
            172                   0             20.6487                   0             309.493
            172                   0                   0             19.5206             308.734
            176             495.976                   0                   0             742.583
            176                   0             20.9419                   0             311.152
            176                   0                   0             19.3129             310.585
            180             496.488                   0                   0             746.424
            180                   0              20.903                   0             311.021
            180                   0                   0             19.2144             309.283
            184             496.035                   0                   0             745.897
            184                   0             20.7806                   0             310.896
            184                   0                   0             19.1684             309.209
            188             496.022                   0                   0             751.317
            188                   0             20.6775                   0             316.354
            188                   0                   0             18.9912             314.695
            192              497.05                   0                   0             754.554
            192                   0             20.7163                   0              315.89
            192                   0                   0              19.037             314.191
            196             496.863                   0                   0              753.45
            196                   0             20.9482                   0             317.094
            196                   0                   0              19.474             316.192
            200             496.146                   0                   0             748.435
            200                   0              20.823                   0             316.009
            200                   0                   0             19.2176             314.375
            204             496.515                   0                   0              747.61
            204                   0             20.8259                   0             315.388
            204                   0                   0             18.9885             313.339
            208             495.967                   0                   0             752.537
            208                   0             21.0644                   0             316.742
            208                   0                   0             19.5292              315.63
            212             496.185                   0                   0             747.847
            212                   0             20.7845                   0             315.653
            212                   0                   0             18.8314             313.544
            216             497.436                   0                   0             753.714
            216                   0             20.6988                   0             317.988
            216                   0                   0             19.2118             316.649
            220             496.561                   0                   0             754.339
            220                   0             20.6148                   0             315.624
            220                   0                   0             19.2784             314.172
            224             496.298                   0                   0             750.639
            224                   0              20.738                   0             315.953
            224                   0                   0             19.2277             314.385
            228             496.398                   0                   0             748.132
            228                   0             21.1656                   0             316.349
            228                   0                   0              19.192              314.18
            232             495.894                   0                   0             753.416
            232                   0             20.4457                   0              315.53
            232                   0                   0             19.5599             314.714
            236             496.379                   0                   0             752.111
            236                   0              20.622                   0             315.897
            236                   0                   0             19.1927             314.444
            240             496.386                   0                   0             751.174
            240                   0             20.7961                   0              315.59
            240                   0                   0             19.0668             314.165
            244             496.692                   0                   0             751.906
            244                   0             20.9523                   0             316.747
            244                   0                   0             19.2454             315.217
            248              496.09                   0                   0             748.026
            248                   0             20.7491                   0             315.911
            248                   0                   0             19.4633             314.296
            252             496.317                   0                   0             750.686
            252                   0             21.0748                   0              316.25
            252                   0                   0             19.1904             313.869
            256             496.258                   0                   0             748.647
            256                   0             20.8443                   0              316.14
            256                   0                   0              19.267               314.4
            260              496.05                   0                   0             744.201
            260                   0             21.0445                   0             312.071
            260                   0                   0             19.2548             310.397
            264             496.429                   0                   0             746.958
            264                   0              20.878                   0             310.872
            264                   0                   0             19.2064             309.115
            268             496.496                   0                   0             743.417
            268                   0              21.083                   0             311.616
            268                   0                   0             19.4309             309.416
            272             496.408                   0                   0             743.793
            272                   0             20.6234                   0             311.263
            272                   0                   0             18.8403             309.108
            276             496.255                   0                   0             742.911
            276                   0             20.5116                   0             310.302
            276                   0                   0             19.2446              309.55
            280             497.062                   0                   0             744.845
            280                   0             20.9601                   0             312.235
            280                   0                   0             19.1558             310.567
            284             496.089                   0                   0             749.478
            284                   0             20.6885                   0             311.155
            284                   0                   0             19.2268             309.756
            288             496.683                   0                   0             748.636
            288                   0             20.6562                   0             310.364
            288                   0                   0             19.1894             308.789
            292             495.994                   0                   0             749.131
            292                   0             20.8136                   0             311.503
            292                   0                   0             19.2659             309.888
            296             498.069                   0                   0             744.838
            296                   0             20.3651                   0             310.673
            296                   0                   0             19.4925             309.714
            300             497.166                   0                   0             747.913
            300                   0             20.7987                   0               312.1
            300                   0                   0             19.2564             310.184
            304             495.909                   0                   0             747.917
            304                   0             20.8308                   0             309.881
            304                   0                   0             18.9516             308.097
            308             496.232                   0                   0             752.043
            308                   0             20.0241                   0              310.24
            308                   0                   0             18.4471             308.881
            312                 497                   0                   0             748.745
            312                   0             21.0214                   0             310.878
            312                   0                   0             18.9724              308.31
            316             496.121                   0                   0              742.31
            316                   0             21.0438                   0             310.839
            316                   0                   0             19.2182              308.87
            320             496.714                   0                   0             744.361
            320                   0             20.8562                   0             311.456
            320                   0                   0             18.9303             309.467
            324             496.391                   0                   0             749.315
            324                   0             20.9116                   0             311.733
            324                   0                   0             18.7351             309.375
            328             496.658                   0                   0             743.731
            328                   0             20.6694                   0             310.763
            328                   0                   0             18.9821              308.97
            332             501.274                   0                   0             753.641
            332                   0             21.1951                   0             311.462
            332                   0                   0             19.1846             309.209
            336             496.283                   0                   0             743.761
            336                   0             21.0184                   0             310.964
            336                   0                   0             19.0629             309.567
            340             496.541                   0                   0             749.291
            340                   0             20.4305                   0             310.687
            340                   0                   0             19.0822              309.45
            344             496.402                   0                   0             758.377
            344                   0             20.7749                   0               310.3
            344                   0                   0             19.0001             308.668
            348             496.591                   0                   0             744.554
            348                   0             21.0271                   0             311.957
            348                   0                   0             19.4204             310.293
            352             498.614                   0                   0             750.749
            352                   0             20.8448                   0             310.937
            352                   0                   0             19.2585              309.46
            356             496.067                   0                   0             743.236
            356                   0             20.8688                   0             311.335
            356                   0                   0             19.1879              309.32
            360             496.938                   0                   0             749.629
            360                   0             21.1827                   0             311.594
            360                   0                   0             18.5984             309.172
            364             496.092                   0                   0             746.232
            364                   0             20.9766                   0             312.453
            364                   0                   0             19.2671             310.629
            368               496.4                   0                   0             743.889
            368                   0             20.8286                   0             311.914
            368                   0                   0             19.1541             310.046
            372             496.074                   0                   0             742.978
            372                   0             20.5804                   0             311.229
            372                   0                   0             18.9724             309.411
            376             495.161                   0                   0             747.786
            376                   0             21.1022                   0             311.257
            376                   0                   0             19.4794             309.581
            380             496.648                   0                   0             743.542
            380                   0              20.595                   0             310.984
            380                   0                   0              19.536             309.978
            384             496.316                   0                   0             743.302
            384                   0             20.9292                   0             311.267
            384                   0                   0             19.2206             309.604
            388             496.557                   0                   0             746.527
            388                   0              20.592                   0             310.583
            388                   0                   0             19.2501             309.478
            392             495.826                   0                   0              743.53
            392                   0             20.6243                   0              311.42
            392                   0                   0             18.9864             309.919
            396             496.453                   0                   0             746.832
            396                   0             21.0161                   0             311.964
            396                   0                   0             19.0582             309.769
            400             496.618                   0                   0             743.482
            400                   0             20.8593                   0             311.288
            400                   0                   0             19.2235             309.636
            404             496.822                   0                   0             744.668
            404                   0              20.813                   0             311.462
            404                   0                   0             19.2401             309.892
            408             494.346                   0                   0             740.195
            408                   0             20.5856                   0             309.586
            408                   0                   0             19.1586             308.169
            412             494.223                   0                   0             740.123
            412                   0             20.2145                   0             308.828
            412                   0                   0             19.1573             307.737
            416             496.592                   0                   0             744.359
            416                   0             21.3719                   0             309.888
            416                   0                   0             19.1816             307.236
            420             495.965                   0                   0             745.007
            420                   0             21.0668                   0             310.316
            420                   0                   0             18.8997             307.584
            424             496.526                   0                   0             746.777
            424                   0             20.5721                   0             308.854
            424                   0                   0             19.1252             307.318
            428             495.852                   0                   0             741.377
            428                   0             20.6384                   0              309.32
            428                   0                   0             19.3416              307.83
            432             495.928                   0                   0             743.404
            432                   0             20.5884                   0             310.995
            432                   0                   0             19.2547             309.673
            436             495.852                   0                   0             743.252
            436                   0             20.2572                   0             311.012
            436                   0                   0             19.0582             309.646
            440             496.131                   0                   0             754.511
            440                   0             20.8413                   0             311.572
            440                   0                   0             19.1938             309.938
            444              495.86                   0                   0             742.171
            444                   0             20.6646                   0             310.255
            444                   0                   0              19.575             309.375
            448             496.171                   0                   0             744.669
            448                   0             20.7998                   0             309.271
            448                   0                   0             19.2394             307.511
            452             496.066                   0                   0             744.189
            452                   0             21.2768                   0             309.638
            452                   0                   0             19.0171             307.399
            456             496.573                   0                   0             746.947
            456                   0             20.6337                   0             309.064
            456                   0                   0             19.1227             307.537
            460             496.497                   0                   0             747.566
            460                   0             20.4471                   0             311.648
            460                   0                   0             19.1265             309.983
            464             496.517                   0                   0             748.526
            464                   0             21.2989                   0             311.129
            464                   0                   0             19.0159             308.898
            468             496.239                   0                   0              743.52
            468                   0             20.7465                   0             311.268
            468                   0                   0             19.1588             309.384
            472             496.514                   0                   0             746.738
            472                   0             20.5548                   0             311.352
            472                   0                   0             19.2628             310.287
            476             495.922                   0                   0             747.507
            476                   0              20.654                   0             312.176
            476                   0                   0             19.2747             310.881
            480             496.435                   0                   0             743.716
            480                   0             20.7653                   0             311.538
            480                   0                   0             18.9305              309.86
            484              501.82                   0                   0             752.095
            484                   0              20.869                   0             311.062
            484                   0                   0             18.9284             309.226
            488             496.469                   0                   0             746.314
            488                   0             20.3446                   0              311.06
            488                   0                   0             19.1874             309.524
            492             495.993                   0                   0             743.912
            492                   0              20.931                   0             312.176
            492                   0                   0               19.17              310.25
            496             496.507                   0                   0             746.392
            496                   0             20.5531                   0             310.185
            496                   0                   0             19.2582              309.04
            500             493.951                   0                   0             745.368
            500                   0             20.6904                   0             310.402
            500                   0                   0             18.9548             308.338
            504             494.721                   0                   0             742.272
            504                   0             20.7957                   0             310.659
            504                   0                   0             18.9936             308.873
            508             493.772                   0                   0             739.669
            508                   0             20.7564                   0              309.88
            508                   0                   0             18.9531             307.986
            512             494.206                   0                   0             746.896
            512                   0             20.8057                   0             310.462
            512                   0                   0             19.1104             308.117
            516             494.501                   0                   0             743.148
            516                   0             20.7495                   0             309.335
            516                   0                   0             18.9304             307.641
            520             494.469                   0                   0             740.518
            520                   0             20.4622                   0             309.677
            520                   0                   0             19.3882             308.886
            524             497.359                   0                   0              743.13
            524                   0             20.4565                   0             309.553
            524                   0                   0             19.1037             308.215
            528             494.146                   0                   0             742.761
            528                   0             20.5337                   0              309.62
            528                   0                   0             18.9977             307.957
            532             494.244                   0                   0             741.331
            532                   0             20.9805                   0             310.968
            532                   0                   0             19.2457             309.081
            536             496.039                   0                   0             748.327
            536                   0             20.8787                   0             316.418
            536                   0                   0             19.1625             314.534
            540             496.017                   0                   0             749.545
            540                   0              20.707                   0             316.551
            540                   0                   0             19.0288             314.743
            544             497.082                   0                   0             751.416
            544                   0             20.6501                   0             318.208
            544                   0                   0             19.1829             316.698
            548             495.769                   0                   0             741.499
            548                   0             20.9259                   0             309.454
            548                   0                   0             19.2058             307.618
            552             496.438                   0                   0              747.59
            552                   0             20.8572                   0             309.588
            552                   0                   0              18.914             307.767
            556              497.34                   0                   0             742.811
            556                   0             20.6002                   0             309.451
            556                   0                   0             18.9194             307.544
            560             496.578                   0                   0             745.398
            560                   0             20.9063                   0             309.456
            560                   0                   0             19.2288             307.718
            564             495.767                   0                   0             744.128
            564                   0             21.3018                   0             310.015
            564                   0                   0             18.9503             307.945
            568             496.245                   0                   0             747.532
            568                   0             21.0464                   0             309.606
            568                   0                   0              18.954             307.178
            572             495.825                   0                   0             740.481
            572                   0             20.6578                   0             309.097
            572                   0                   0             19.1928             307.395
            576             496.063                   0                   0             746.878
            576                   0              21.215                   0             309.714
            576                   0                   0             18.9873             307.558
            580             496.384                   0                   0             742.026
            580                   0             20.8281                   0             310.106
            580                   0                   0             18.8637             307.802
            584             495.643                   0                   0             758.776
